Title,Domestic,International,Budget,Distributor,MPAA-Rating,Runtime,Genres
Jurassic World (2015),652270625,1018130012,150000000.0,Universal Pictures,PG-13,124,Action;Adventure;Sci-Fi
Star Wars: Episode VII - The Force Awakens (2015),936662225,1131561399,245000000.0,Walt Disney Studios Motion Pictures,PG-13,138,Action;Adventure;Sci-Fi
Avengers: Age of Ultron (2015),459005868,943800000,250000000.0,Walt Disney Studios Motion Pictures,PG-13,141,Action;Adventure;Sci-Fi
Inside Out (2015),356461711,501149463,175000000.0,Walt Disney Studios Motion Pictures,PG,95,Adventure;Animation;Comedy;Drama;Family;Fantasy
Furious 7 (2015),353007020,1162040651,190000000.0,Universal Pictures,PG-13,137,Action;Adventure;Thriller
American Sniper (2014),350126372,197300000,58800000.0,Warner Bros.,R,133,Action;Biography;Drama;War
Minions (2015),336045770,823352627,74000000.0,Universal Pictures,PG,91,Adventure;Animation;Comedy;Family;Sci-Fi
The Hunger Games: Mockingjay - Part 2 (2015),281723902,376620235,160000000.0,Lionsgate,PG-13,137,Action;Adventure;Sci-Fi;Thriller
The Martian (2015),228433663,401728227,108000000.0,Twentieth Century Fox,PG-13,144,Adventure;Drama;Sci-Fi
Cinderella (2015),201151353,341200000,95000000.0,Walt Disney Studios Motion Pictures,PG,105,Drama;Family;Fantasy;Romance
How the Grinch Stole Christmas (2000),260044825,85096578,123000000.0,Universal Pictures,PG,104,Comedy;Family;Fantasy
Mission: Impossible II (2000),215409889,330978219,125000000.0,Paramount Pictures,PG-13,123,Action;Adventure;Thriller
Gladiator (2000),187705427,272878533,103000000.0,DreamWorks Distribution,R,155,Action;Adventure;Drama
The Perfect Storm (2000),182618434,146100000,140000000.0,Warner Bros.,PG-13,130,Action;Adventure;Drama;Thriller
Meet the Parents (2000),166244045,164200000,55000000.0,Universal Pictures,PG-13,108,Comedy;Romance
X-Men (2000),157299718,139039810,75000000.0,Twentieth Century Fox,PG-13,104,Action;Adventure;Sci-Fi
Scary Movie (2000),157019771,121000000,19000000.0,Miramax,R,88,Comedy
What Lies Beneath (2000),155464351,135956000,100000000.0,DreamWorks Distribution,PG-13,130,Drama;Horror;Mystery;Thriller
Erin Brockovich (2000),125595205,130676081,52000000.0,Universal Pictures,R,131,Biography;Drama
Harry Potter and the Sorcerer's Stone (2001),317575550,657179821,125000000.0,Warner Bros.,PG,152,Adventure;Family;Fantasy
Shrek (2001),267665011,216744207,60000000.0,DreamWorks Distribution,PG,90,Adventure;Animation;Comedy;Family;Fantasy
"Monsters, Inc. (2001)",255873250,272900000,115000000.0,Walt Disney Studios Motion Pictures,G,92,Adventure;Animation;Comedy;Family;Fantasy
Rush Hour 2 (2001),226164286,121161516,90000000.0,New Line Cinema,PG-13,90,Action;Comedy;Crime;Thriller
The Mummy Returns (2001),202019785,230993489,98000000.0,Universal Pictures,PG-13,130,Action;Adventure;Fantasy;Thriller
Pearl Harbor (2001),198542554,250678391,140000000.0,Walt Disney Studios Motion Pictures,PG-13,183,Action;Drama;History;Romance;War
Jurassic Park III (2001),181171875,187608934,93000000.0,Universal Pictures,PG-13,92,Action;Adventure;Sci-Fi;Thriller
Planet of the Apes (2001),180011740,182200000,100000000.0,Twentieth Century Fox,PG-13,119,Action;Adventure;Sci-Fi;Thriller
Hannibal (2001),165092268,186600000,87000000.0,Metro-Goldwyn-Mayer (MGM),R,131,Crime;Drama;Thriller
The Lord of the Rings: The Fellowship of the Ring (2001),313364114,567475732,93000000.0,New Line Cinema,PG-13,178,Action;Adventure;Drama;Fantasy
Spider-Man (2002),403706375,418002176,139000000.0,Sony Pictures Entertainment (SPE),PG-13,121,Action;Adventure;Sci-Fi
Star Wars: Episode II - Attack of the Clones (2002),302191252,343065200,115000000.0,Twentieth Century Fox,PG,142,Action;Adventure;Fantasy;Sci-Fi
Harry Potter and the Chamber of Secrets (2002),261988482,616991152,100000000.0,Warner Bros.,PG,161,Adventure;Family;Fantasy;Mystery
Signs (2002),227966634,180281283,72000000.0,Walt Disney Studios Motion Pictures,PG-13,106,Drama;Mystery;Sci-Fi;Thriller
My Big Fat Greek Wedding (2002),241438208,127305836,5000000.0,IFC Films,PG,95,Comedy;Drama;Romance
The Lord of the Rings: The Two Towers (2002),339789881,596899854,94000000.0,New Line Cinema,PG-13,179,Action;Adventure;Drama;Fantasy
Austin Powers in Goldmember (2002),213307889,83630912,63000000.0,New Line Cinema,PG-13,94,Action;Adventure;Comedy;Crime
Men in Black II (2002),190418803,251400000,140000000.0,Sony Pictures Entertainment (SPE),PG-13,88,Action;Adventure;Comedy;Mystery;Sci-Fi
Ice Age (2002),176387405,206869731,59000000.0,Twentieth Century Fox,PG,81,Adventure;Animation;Comedy;Family;Fantasy
A Beautiful Mind (2001),170742341,142800000,58000000.0,Universal Pictures,PG-13,135,Biography;Drama
Finding Nemo (2003),339714978,531300000,94000000.0,Walt Disney Studios Motion Pictures,,100,Adventure;Animation;Comedy;Family
Pirates of the Caribbean: The Curse of the Black Pearl (2003),305413918,348850097,140000000.0,Walt Disney Studios Motion Pictures,PG-13,143,Action;Adventure;Fantasy
The Matrix Reloaded (2003),281576461,457835574,150000000.0,Warner Bros.,R,138,Action;Sci-Fi
The Lord of the Rings: The Return of the King (2003),377027325,763654686,94000000.0,New Line Cinema,PG-13,201,Action;Adventure;Drama;Fantasy
Bruce Almighty (2003),242829261,241763613,81000000.0,Universal Pictures,PG-13,101,Comedy;Fantasy
X2: X-Men United (2003),214949694,192761855,110000000.0,Twentieth Century Fox,PG-13,134,Action;Sci-Fi;Thriller
Elf (2003),173398518,47044933,33000000.0,New Line Cinema,PG,97,Adventure;Comedy;Family;Fantasy;Romance
Chicago (2002),170687518,136089214,45000000.0,Miramax,PG-13,113,Comedy;Crime;Musical
Terminator 3: Rise of the Machines (2003),150371112,283000000,200000000.0,Warner Bros.,R,109,Action;Sci-Fi
Bad Boys II (2003),138608444,134731112,130000000.0,Sony Pictures Entertainment (SPE),R,147,Action;Comedy;Crime;Thriller
Shrek 2 (2004),441226247,487534523,150000000.0,DreamWorks Distribution,PG,93,Adventure;Animation;Comedy;Family;Fantasy;Romance
Spider-Man 2 (2004),373585825,415032492,200000000.0,Sony Pictures Entertainment (SPE),PG-13,127,Action;Adventure;Sci-Fi
The Passion of the Christ (2004),370274604,241212132,30000000.0,Newmarket Films,R,127,Drama
Harry Potter and the Prisoner of Azkaban (2004),249541069,546093000,130000000.0,Warner Bros.,PG,142,Adventure;Family;Fantasy;Mystery
The Incredibles (2004),261441092,370001000,92000000.0,Walt Disney Studios Motion Pictures,,115,Action;Adventure;Animation;Family
The Day After Tomorrow (2004),186740799,365898772,125000000.0,Twentieth Century Fox,PG-13,124,Action;Adventure;Sci-Fi;Thriller
The Bourne Supremacy (2004),176241941,114391481,75000000.0,Universal Pictures,PG-13,108,Action;Mystery;Thriller
Shark Tale (2004),160861908,213721971,75000000.0,DreamWorks Distribution,PG,90,Adventure;Animation;Comedy;Family;Fantasy
The Polar Express (2004),162775358,123225147,165000000.0,Warner Bros.,,100,Adventure;Animation;Comedy;Family;Fantasy;Musical
National Treasure (2004),173008894,174503424,100000000.0,Walt Disney Studios Motion Pictures,PG,131,Action;Adventure;Mystery;Thriller
Star Wars: Episode III - Revenge of the Sith (2005),380270577,488081953,113000000.0,Twentieth Century Fox,PG-13,140,Action;Adventure;Fantasy;Sci-Fi
Harry Potter and the Goblet of Fire (2005),290013036,605908000,150000000.0,Warner Bros.,PG-13,157,Adventure;Family;Fantasy;Mystery
War of the Worlds (2005),234280354,369592765,132000000.0,Paramount Pictures,PG-13,116,Adventure;Sci-Fi;Thriller
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe (2005)",291710957,453302158,180000000.0,Walt Disney Studios Motion Pictures,PG,143,Adventure;Family;Fantasy
Wedding Crashers (2005),209255921,79211724,40000000.0,New Line Cinema,R,119,Comedy;Romance
Charlie and the Chocolate Factory (2005),206459076,268509687,150000000.0,Warner Bros.,PG,115,Adventure;Comedy;Family;Fantasy;Musical
Batman Begins (2005),205343774,166510009,150000000.0,Warner Bros.,PG-13,140,Action;Adventure
Madagascar (2005),193595521,348468325,,DreamWorks Distribution,PG,86,Adventure;Animation;Comedy;Family
Mr. & Mrs. Smith (2005),186336279,300951367,110000000.0,Twentieth Century Fox,PG-13,120,Action;Comedy;Crime;Thriller
Hitch (2005),179495555,192098655,70000000.0,Sony Pictures Entertainment (SPE),PG-13,118,Comedy;Romance
Pirates of the Caribbean: Dead Man's Chest (2006),423315812,642863913,225000000.0,Walt Disney Studios Motion Pictures,PG-13,151,Action;Adventure;Fantasy
Cars (2006),244082982,217900167,120000000.0,Walt Disney Studios Motion Pictures,,117,Animation;Comedy;Family;Sport
X-Men: The Last Stand (2006),234362462,226072829,210000000.0,Twentieth Century Fox,PG-13,104,Action;Adventure;Sci-Fi
The Da Vinci Code (2006),217536138,542470807,125000000.0,Sony Pictures Entertainment (SPE),PG-13,149,Mystery;Thriller
Superman Returns (2006),200081192,191000000,270000000.0,Warner Bros.,PG-13,154,Action;Sci-Fi
Ice Age: The Meltdown (2006),195330621,465668135,80000000.0,Twentieth Century Fox,PG,91,Adventure;Animation;Comedy;Family;Fantasy
Happy Feet (2006),198000317,186335291,100000000.0,Warner Bros.,PG,108,Adventure;Animation;Comedy;Family;Music;Musical;Romance
Over the Hedge (2006),155019340,184776550,,DreamWorks,PG,83,Adventure;Animation;Comedy;Family;Fantasy
Casino Royale (2006),167445960,438553632,150000000.0,Sony Pictures Entertainment (SPE),PG-13,144,Action;Adventure;Thriller
Talladega Nights: The Ballad of Ricky Bobby (2006),148213377,15148718,72500000.0,Sony Pictures Entertainment (SPE),PG-13,108,Comedy;Sport
Spider-Man 3 (2007),336530303,558453070,258000000.0,Sony Pictures Entertainment (SPE),PG-13,139,Action;Adventure;Sci-Fi
Shrek the Third (2007),322719944,490647436,160000000.0,DreamWorks,PG,93,Adventure;Animation;Comedy;Family;Fantasy
Transformers (2007),319246193,390463587,150000000.0,DreamWorks,PG-13,144,Action;Adventure;Sci-Fi
Pirates of the Caribbean: At World's End (2007),309420425,651576067,300000000.0,Walt Disney Studios Motion Pictures,PG-13,169,Action;Adventure;Fantasy
Harry Potter and the Order of the Phoenix (2007),292004738,649672105,150000000.0,Warner Bros.,PG-13,138,Action;Adventure;Family;Fantasy;Mystery
The Bourne Ultimatum (2007),227471070,216628965,110000000.0,Universal Pictures,PG-13,115,Action;Mystery;Thriller
300 (2007),210614939,245453242,65000000.0,Warner Bros.,R,117,Action;Drama
Ratatouille (2007),206445654,417280431,150000000.0,Walt Disney Studios Motion Pictures,G,111,Adventure;Animation;Comedy;Family;Fantasy
I Am Legend (2007),256393010,329017042,150000000.0,Warner Bros.,PG-13,101,Action;Adventure;Drama;Sci-Fi;Thriller
The Simpsons Movie (2007),183135014,353279256,75000000.0,Twentieth Century Fox,PG-13,87,Adventure;Animation;Comedy
The Dark Knight (2008),533345358,469700000,185000000.0,Warner Bros.,PG-13,152,Action;Crime;Drama;Thriller
Iron Man (2008),318604126,266762121,140000000.0,Paramount Pictures,PG-13,126,Action;Adventure;Sci-Fi
Indiana Jones and the Kingdom of the Crystal Skull (2008),317101119,473552823,185000000.0,Paramount Pictures,PG-13,122,Action;Adventure
Hancock (2008),227946274,401497154,150000000.0,Sony Pictures Entertainment (SPE),PG-13,92,Action;Drama;Fantasy
WALL·E (2008),223808164,297503696,180000000.0,Walt Disney Studios Motion Pictures,,98,Adventure;Animation;Family;Romance;Sci-Fi
Kung Fu Panda (2008),215434591,416309969,130000000.0,DreamWorks,PG,92,Action;Adventure;Animation;Comedy;Family
Madagascar: Escape 2 Africa (2008),180010950,423889404,150000000.0,DreamWorks,PG,89,Adventure;Animation;Comedy;Family
Twilight (2008),192769854,214417861,37000000.0,Summit Entertainment,PG-13,122,Drama;Fantasy;Romance
Quantum of Solace (2008),168368427,421212055,200000000.0,Sony Pictures Entertainment (SPE),PG-13,106,Action;Adventure;Thriller
Horton Hears a Who! (2008),154529439,144043360,85000000.0,Twentieth Century Fox,,86,Adventure;Animation;Comedy;Family;Fantasy
Transformers: Revenge of the Fallen (2009),402111870,434191823,200000000.0,DreamWorks,PG-13,149,Action;Adventure;Sci-Fi
Harry Potter and the Half-Blood Prince (2009),301959197,632000000,250000000.0,Warner Bros.,PG,153,Action;Adventure;Family;Fantasy;Mystery
Up (2009),293004164,442094918,175000000.0,Walt Disney Studios Motion Pictures,PG,96,Adventure;Animation;Comedy;Family
The Twilight Saga: New Moon (2009),296623634,413203828,50000000.0,Summit Entertainment,PG-13,130,Adventure;Drama;Fantasy;Romance
Avatar (2009),749766139,1993811448,237000000.0,Twentieth Century Fox,PG-13,162,Action;Adventure;Fantasy;Sci-Fi
The Hangover (2009),277322503,191490290,35000000.0,Warner Bros.,R,100,Comedy
Star Trek (2009),257730019,127950427,150000000.0,Paramount Pictures,PG-13,127,Action;Adventure;Sci-Fi
Monsters vs. Aliens (2009),198351526,183158344,175000000.0,DreamWorks,PG,94,Action;Adventure;Animation;Comedy;Family;Sci-Fi;Thriller
Ice Age: Dawn of the Dinosaurs (2009),196573705,690113112,90000000.0,Twentieth Century Fox,PG,94,Adventure;Animation;Comedy;Family;Fantasy
The Blind Side (2009),255959475,53248834,29000000.0,Warner Bros.,PG-13,129,Biography;Drama;Sport
Toy Story 3 (2010),415004880,651964823,200000000.0,Walt Disney Studios Motion Pictures,,103,Adventure;Animation;Comedy;Family;Fantasy
Alice in Wonderland (2010),334191110,691276000,200000000.0,Walt Disney Studios Motion Pictures,PG,108,Adventure;Family;Fantasy
Iron Man 2 (2010),312433331,311500000,200000000.0,Paramount Pictures,PG-13,124,Action;Adventure;Sci-Fi
The Twilight Saga: Eclipse (2010),300531751,397959596,68000000.0,Summit Entertainment,PG-13,124,Action;Adventure;Drama;Fantasy;Romance;Thriller
Inception (2010),292576195,533560993,160000000.0,Warner Bros.,PG-13,148,Action;Adventure;Sci-Fi;Thriller
Harry Potter and the Deathly Hallows: Part 1 (2010),295983305,680553613,,Warner Bros.,PG-13,146,Adventure;Family;Fantasy;Mystery
Despicable Me (2010),251513985,291600000,69000000.0,Universal Pictures,PG,95,Animation;Comedy;Crime;Family;Fantasy
Shrek Forever After (2010),238736787,513864080,165000000.0,DreamWorks,PG,93,Adventure;Animation;Comedy;Family;Fantasy;Romance
How to Train Your Dragon (2010),217581231,277297528,165000000.0,DreamWorks,PG,98,Action;Adventure;Animation;Family;Fantasy
Harry Potter and the Deathly Hallows: Part 2 (2011),381011219,960500000,,Warner Bros.,PG-13,130,Adventure;Drama;Fantasy;Mystery
Transformers: Dark of the Moon (2011),352390543,771403536,195000000.0,DreamWorks,PG-13,154,Action;Adventure;Sci-Fi
The Twilight Saga: Breaking Dawn - Part 1 (2011),281287133,430918723,110000000.0,Summit Entertainment,PG-13,117,Adventure;Drama;Fantasy;Romance;Thriller
The Hangover Part II (2011),254464305,332300000,80000000.0,Warner Bros.,R,102,Comedy
Pirates of the Caribbean: On Stranger Tides (2011),241071802,804642000,250000000.0,Walt Disney Studios Motion Pictures,PG-13,137,Action;Adventure;Fantasy
Fast Five (2011),209837675,416300000,125000000.0,Universal Pictures,PG-13,130,Action;Adventure;Crime;Thriller
Cars 2 (2011),191452396,368400000,200000000.0,Walt Disney Studios Motion Pictures,G,106,Adventure;Animation;Comedy;Family;Sci-Fi;Sport
Thor (2011),181030624,268295994,150000000.0,Paramount Pictures,PG-13,115,Action;Adventure;Fantasy
Rise of the Planet of the Apes (2011),176760185,305040688,93000000.0,Twentieth Century Fox,PG-13,105,Action;Drama;Sci-Fi;Thriller
Captain America: The First Avenger (2011),176654505,193915269,140000000.0,Paramount Pictures,PG-13,124,Action;Adventure;Sci-Fi
The Avengers (2012),623357910,895455078,220000000.0,Walt Disney Studios Motion Pictures,PG-13,143,Action;Adventure;Sci-Fi
The Dark Knight Rises (2012),448139099,632902188,250000000.0,Warner Bros.,PG-13,164,Action;Adventure
The Hunger Games (2012),408010692,286384032,78000000.0,Lionsgate,PG-13,142,Action;Adventure;Sci-Fi;Thriller
Skyfall (2012),304360277,804200736,200000000.0,Sony Pictures Entertainment (SPE),PG-13,143,Action;Adventure;Thriller
The Twilight Saga: Breaking Dawn - Part 2 (2012),292324737,537422083,120000000.0,Lionsgate,PG-13,115,Adventure;Drama;Fantasy;Romance
The Amazing Spider-Man (2012),262030663,495900000,230000000.0,Sony Pictures Entertainment (SPE),PG-13,136,Action;Adventure;Fantasy;Sci-Fi
Brave (2012),237283207,301700000,185000000.0,Walt Disney Studios Motion Pictures,PG,93,Adventure;Animation;Comedy;Family;Fantasy
The Hobbit: An Unexpected Journey (2012),303003568,714000000,,Warner Bros.,PG-13,169,Adventure;Fantasy
Ted (2012),218815487,330552828,50000000.0,Universal Pictures,R,106,Comedy
Madagascar 3: Europe's Most Wanted (2012),216391482,530529792,145000000.0,DreamWorks,PG,95,Adventure;Animation;Comedy;Family
Iron Man 3 (2013),409013994,805797258,200000000.0,Walt Disney Studios Motion Pictures,PG-13,130,Action;Adventure;Sci-Fi
The Hunger Games: Catching Fire (2013),424668047,440343699,130000000.0,Lionsgate,PG-13,146,Action;Adventure;Mystery;Sci-Fi;Thriller
Despicable Me 2 (2013),368065385,602700620,76000000.0,Universal Pictures,PG,98,Adventure;Animation;Comedy;Crime;Family;Fantasy;Sci-Fi
Man of Steel (2013),291045518,377000000,225000000.0,Warner Bros.,PG-13,143,Action;Adventure;Sci-Fi
Monsters University (2013),268492764,475066843,,Walt Disney Studios Motion Pictures,G,104,Adventure;Animation;Comedy;Family;Fantasy
Frozen (2013),400738009,880064273,150000000.0,Walt Disney Studios Motion Pictures,PG,102,Adventure;Animation;Comedy;Family;Fantasy;Musical
Gravity (2013),274092705,449100000,100000000.0,Warner Bros.,PG-13,91,Drama;Sci-Fi;Thriller
Fast & Furious 6 (2013),238679850,550000000,160000000.0,Universal Pictures,PG-13,130,Action;Adventure;Thriller
Oz the Great and Powerful (2013),234911825,258400000,215000000.0,Walt Disney Studios Motion Pictures,PG,130,Adventure;Family;Fantasy
Star Trek Into Darkness (2013),228778661,238586585,190000000.0,Paramount Pictures,PG-13,132,Action;Adventure;Sci-Fi
Guardians of the Galaxy (2014),333176600,439600000,170000000.0,Walt Disney Studios Motion Pictures,PG-13,121,Action;Adventure;Comedy;Sci-Fi
The Hunger Games: Mockingjay - Part 1 (2014),337135885,418220826,125000000.0,Lionsgate,PG-13,123,Action;Adventure;Sci-Fi;Thriller
Captain America: The Winter Soldier (2014),259766572,454654931,170000000.0,Walt Disney Studios Motion Pictures,PG-13,136,Action;Adventure;Sci-Fi;Thriller
The Lego Movie (2014),257760692,210300000,60000000.0,Warner Bros.,PG,100,Action;Adventure;Animation;Comedy;Family;Fantasy
Transformers: Age of Extinction (2014),245439076,858614996,210000000.0,Paramount Pictures,PG-13,165,Action;Adventure;Sci-Fi
Maleficent (2014),241410378,517000000,180000000.0,Walt Disney Studios Motion Pictures,PG,97,Action;Adventure;Family;Fantasy;Romance
X-Men: Days of Future Past (2014),233921534,512124166,200000000.0,Twentieth Century Fox,PG-13,132,Action;Adventure;Sci-Fi;Thriller
Dawn of the Planet of the Apes (2014),208545589,502098977,170000000.0,Twentieth Century Fox,PG-13,130,Action;Adventure;Drama;Sci-Fi
Big Hero 6 (2014),222527828,435300000,165000000.0,Walt Disney Studios Motion Pictures,PG,102,Action;Adventure;Animation;Family;Sci-Fi
The Amazing Spider-Man 2 (2014),202853933,506128390,,Sony Pictures Entertainment (SPE),PG-13,142,Action;Adventure;Fantasy;Sci-Fi
Finding Dory (2016),486295561,542275328,,Walt Disney Studios Motion Pictures,PG,97,Adventure;Animation;Comedy;Family
Rogue One: A Star Wars Story (2016),532177324,523879949,200000000.0,Walt Disney Studios Motion Pictures,PG-13,133,Action;Adventure;Sci-Fi
Captain America: Civil War (2016),408084349,745211944,250000000.0,Walt Disney Studios Motion Pictures,PG-13,147,Action;Adventure;Sci-Fi
The Secret Life of Pets (2016),368384330,507073607,75000000.0,Universal Pictures,PG,87,Adventure;Animation;Comedy;Family
The Jungle Book (2016),364001123,602549477,175000000.0,Walt Disney Studios Motion Pictures,PG,106,Adventure;Drama;Family;Fantasy
Deadpool (2016),363070709,419541446,58000000.0,Twentieth Century Fox,R,108,Action;Adventure;Comedy;Sci-Fi
Zootopia (2016),341268248,682515947,,Walt Disney Studios Motion Pictures,PG,108,Adventure;Animation;Comedy;Crime;Family;Mystery
Batman v Superman: Dawn of Justice (2016),330360194,543274725,250000000.0,Warner Bros.,PG-13,152,Action;Adventure;Sci-Fi
Suicide Squad (2016),325100054,421746840,175000000.0,Warner Bros.,PG-13,123,Action;Adventure;Fantasy;Sci-Fi
Star Wars: Episode VIII - The Last Jedi (2017),620181382,712358507,317000000.0,Walt Disney Studios Motion Pictures,PG-13,152,Action;Adventure;Fantasy;Sci-Fi
Beauty and the Beast (2017),504014165,759506961,160000000.0,Walt Disney Studios Motion Pictures,PG,129,Family;Fantasy;Musical;Romance
Wonder Woman (2017),412563408,409283604,149000000.0,Warner Bros.,PG-13,141,Action;Adventure;Fantasy;Sci-Fi;War
Guardians of the Galaxy Vol. 2 (2017),389813101,473942950,200000000.0,Walt Disney Studios Motion Pictures,PG-13,136,Action;Adventure;Comedy;Sci-Fi
Spider-Man: Homecoming (2017),334201140,545965784,175000000.0,Sony Pictures Entertainment (SPE),PG-13,133,Action;Adventure;Sci-Fi
It (2017),327481748,372900000,35000000.0,Warner Bros.,R,135,Horror
Thor: Ragnarok (2017),315058289,538918837,180000000.0,Walt Disney Studios Motion Pictures,PG-13,130,Action;Adventure;Comedy;Fantasy;Sci-Fi
Despicable Me 3 (2017),264624300,770175109,80000000.0,Universal Pictures,PG,89,Adventure;Animation;Comedy;Family;Fantasy;Sci-Fi
Logan (2017),226277068,392744368,97000000.0,Twentieth Century Fox,R,137,Action;Drama;Sci-Fi;Thriller
The Fate of the Furious (2017),226008385,1009996733,250000000.0,Universal Pictures,PG-13,136,Action;Adventure;Crime;Thriller
Black Panther (2018),700059566,646853595,,Walt Disney Studios Motion Pictures,PG-13,134,Action;Adventure;Sci-Fi
Avengers: Infinity War (2018),678815482,1369544272,,Walt Disney Studios Motion Pictures,PG-13,149,Action;Adventure;Sci-Fi
Incredibles 2 (2018),608581744,634223615,,Walt Disney Studios Motion Pictures,PG,118,Action;Adventure;Animation;Comedy;Family;Sci-Fi
Jurassic World: Fallen Kingdom (2018),417719760,890748184,170000000.0,Universal Pictures,PG-13,128,Action;Adventure;Sci-Fi
Deadpool 2 (2018),318491426,416055185,110000000.0,Twentieth Century Fox,R,119,Action;Adventure;Comedy;Sci-Fi
The Grinch (2018),270620950,240975007,75000000.0,Universal Pictures,PG,85,Animation;Comedy;Family;Fantasy
Jumanji: Welcome to the Jungle (2017),404515480,557562066,90000000.0,Sony Pictures Entertainment (SPE),PG-13,119,Action;Adventure;Comedy;Fantasy
Mission: Impossible - Fallout (2018),220159104,570956000,178000000.0,Paramount Pictures,PG-13,147,Action;Adventure;Thriller
Ant-Man and the Wasp (2018),216648740,406025399,,Walt Disney Studios Motion Pictures,PG-13,118,Action;Adventure;Comedy;Sci-Fi
Solo: A Star Wars Story (2018),213767512,179157295,275000000.0,Walt Disney Studios Motion Pictures,PG-13,135,Action;Adventure;Sci-Fi
Avengers: Endgame (2019),858373000,1939128328,356000000.0,Walt Disney Studios Motion Pictures,PG-13,181,Action;Adventure;Drama;Sci-Fi
The Lion King (2019),543638043,1113305351,260000000.0,Walt Disney Studios Motion Pictures,PG,118,Adventure;Animation;Drama;Family;Musical
Toy Story 4 (2019),434038008,639356585,200000000.0,Walt Disney Studios Motion Pictures,G,100,Adventure;Animation;Comedy;Family;Fantasy
Frozen II (2019),477373578,972653355,150000000.0,Walt Disney Studios Motion Pictures,PG,103,Adventure;Animation;Comedy;Family;Fantasy;Musical
Captain Marvel (2019),426829839,701444955,160000000.0,Walt Disney Studios Motion Pictures,PG-13,123,Action;Adventure;Sci-Fi
Star Wars: Episode IX - The Rise of Skywalker (2019),515202542,558941706,275000000.0,Walt Disney Studios Motion Pictures,PG-13,141,Action;Adventure;Fantasy;Sci-Fi
Spider-Man: Far from Home (2019),390532085,741395911,160000000.0,Sony Pictures Entertainment (SPE),PG-13,129,Action;Adventure;Sci-Fi
Aladdin (2019),355559216,695134737,183000000.0,Walt Disney Studios Motion Pictures,PG,128,Adventure;Family;Fantasy;Musical;Romance
Joker (2019),335451311,738800000,55000000.0,Warner Bros.,R,122,Crime;Drama;Thriller
It Chapter Two (2019),211593228,261500000,79000000.0,Warner Bros.,R,169,Drama;Fantasy;Horror
Bad Boys for Life (2020),206305244,220200000,90000000.0,Sony Pictures Entertainment (SPE),R,124,Action;Comedy;Crime;Thriller
1917 (2019),159227644,225395935,95000000.0,Universal Pictures,R,119,Drama;Thriller;War
Sonic the Hedgehog (2020),148974665,170741018,85000000.0,Paramount Pictures,PG,99,Action;Adventure;Comedy;Sci-Fi
Jumanji: The Next Level (2019),320314960,479744747,125000000.0,Sony Pictures Entertainment (SPE),PG-13,123,Action;Adventure;Comedy;Fantasy
Birds of Prey (2020),84158461,117700000,84500000.0,Warner Bros.,R,109,Action;Adventure;Comedy;Crime
Dolittle (2020),77047065,168440688,175000000.0,Universal Pictures,PG,101,Adventure;Comedy;Family;Fantasy
Little Women (2019),108101214,108500000,40000000.0,Sony Pictures Entertainment (SPE),PG,135,Drama;Romance
The Invisible Man (2020),70410000,72741000,7000000.0,Universal Pictures,R,124,Drama;Horror;Mystery;Sci-Fi;Thriller
The Call of the Wild (2020),62342368,48763129,135000000.0,20th Century Studios,PG,100,Adventure;Drama;Family
Nutty Professor II: the Klumps (2000),123309890,43030000,84000000.0,Universal Pictures,PG-13,106,Comedy;Romance;Sci-Fi
Charlie's Angels (2000),125305545,138800000,93000000.0,Sony Pictures Entertainment (SPE),PG-13,98,Action;Adventure;Comedy;Crime;Thriller
Big Momma's House (2000),117559438,56400000,30000000.0,Twentieth Century Fox,PG-13,99,Action;Comedy;Crime
Remember the Titans (2000),115654751,21051932,30000000.0,Walt Disney Studios Motion Pictures,PG,113,Biography;Drama;Sport
The Patriot (2000),113330342,101964000,110000000.0,Sony Pictures Entertainment (SPE),R,165,Action;Drama;History;War
What Women Want (2000),182811707,191300000,70000000.0,Paramount Pictures,PG-13,127,Comedy;Fantasy;Romance
Gone in 60 Seconds (2000),101648571,135553728,90000000.0,Walt Disney Studios Motion Pictures,PG-13,118,Action;Crime;Thriller
Cast Away (2000),233632142,196000000,90000000.0,Twentieth Century Fox,PG-13,143,Adventure;Drama;Romance
"Me, Myself & Irene (2000)",90570999,58700000,51000000.0,Twentieth Century Fox,R,116,Comedy
Space Cowboys (2000),90464773,38419359,65000000.0,Warner Bros.,PG-13,130,Action;Adventure;Thriller
Scream 3 (2000),89143175,72691101,40000000.0,Dimension Films,R,116,Horror;Mystery
Unbreakable (2000),95011339,153106782,75000000.0,Walt Disney Studios Motion Pictures,PG-13,106,Drama;Mystery;Sci-Fi;Thriller
U-571 (2000),77122415,50544000,62000000.0,Universal Pictures,PG-13,116,Action;War
Hollow Man (2000),73209340,117004115,95000000.0,Sony Pictures Entertainment (SPE),R,112,Action;Horror;Sci-Fi;Thriller
Stuart Little (1999),140035367,160100000,133000000.0,Sony Pictures Entertainment (SPE),PG,84,Adventure;Comedy;Family;Fantasy
The Green Mile (1999),136801374,150000000,60000000.0,Warner Bros.,R,189,Crime;Drama;Fantasy;Mystery
The Kid (2000),69691949,40625631,65000000.0,Walt Disney Studios Motion Pictures,PG,104,Comedy;Family;Fantasy
Rugrats in Paris (2000),76507756,26783375,30000000.0,Paramount Pictures,,78,Adventure;Animation;Comedy;Family;Romance
