Title,Domestic,International,Budget,Distributor,MPAA-Rating,Runtime,Genres
30 Minutes or Less (2011),37053924,3608708,28000000.0,Sony Pictures Entertainment (SPE),R,83,Action;Comedy;Crime
In Time (2011),37520095,136410501,40000000.0,Twentieth Century Fox,PG-13,109,Action;Sci-Fi;Thriller
Colombiana (2011),36665854,26792586,40000000.0,TriStar Pictures,PG-13,108,Action;Drama;Thriller
J. Edgar (2011),37306030,47614509,35000000.0,Warner Bros.,R,137,Biography;Drama;Romance
Sucker Punch (2011),36392502,53400000,82000000.0,Warner Bros.,PG-13,110,Action;Adventure;Fantasy
War Horse (2011),79884879,97700000,66000000.0,Walt Disney Studios Motion Pictures,PG-13,146,Action;Adventure;Drama;History;War
Larry Crowne (2011),35608245,39446825,30000000.0,Universal Pictures,PG-13,98,Comedy;Drama;Romance
50/50 (2011),35014192,6083661,8000000.0,Summit Entertainment,R,100,Comedy;Drama;Romance
A Very Harold & Kumar Christmas (2011),35061031,1131744,19000000.0,Warner Bros.,R,90,Adventure;Comedy
Drive (2011),35061555,41915111,15000000.0,FilmDistrict,R,100,Crime;Drama
Courageous (2011),34522221,663663,2000000.0,TriStar Pictures,PG-13,130,Drama
The Rite (2011),33047633,63512958,37000000.0,Warner Bros.,PG-13,114,Drama;Horror;Mystery;Thriller
Arthur (2011),33035397,15112548,40000000.0,Warner Bros.,PG-13,110,Comedy;Romance
The Debt (2011),31177548,14458820,20000000.0,Focus Features,R,113,Drama;Thriller
Priest (2011),29137000,49172505,60000000.0,Screen Gems,PG-13,87,Action;Adventure;Fantasy;Horror;Sci-Fi;Thriller
The Mechanic (2011),29121498,47008595,40000000.0,CBS Films,R,93,Action;Crime;Thriller
Abduction (2011),28087155,54000000,35000000.0,Lionsgate,PG-13,106,Action;Mystery;Thriller
Beastly (2011),27865571,15336712,17000000.0,CBS Films,PG-13,86,Drama;Fantasy;Romance
Winnie the Pooh (2011),26692846,23178583,30000000.0,Walt Disney Studios Motion Pictures,,63,Adventure;Animation;Comedy;Family;Musical
